Time,Lat,Lon,Dpth,ODO,Turb,Ct,pH,Temp,ORP,BGA
1660765915570575,0.0,0.0,3.7300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660766117626099,0.0,0.0,3.759999990463257,-3.7560743300795994e+107,-7.11224776444188e+100,3.5513389207153523e-07,1.6297945187956626e-25,-3.670636105891689e+48,-3.956070965901426e+89,-9999.0
1660766177753978,0.0,0.0,2.190000057220459,-1.8194858110474738e+67,31534379008.0,-3.2034872795141996e+45,1.8506076170563857e+37,1.3445739431457917e-19,1.6574002866765752e-17,-9999.0
1660766237509870,0.0,0.0,2.3499999046325684,-3.8421203952074477e+93,-1.5391007375714028e+51,-1.4041882797238945e+53,3.3955475218799383e+24,-2.6367898301331713e+77,-1.9168661092569107e+72,-9999.0
1660766297509791,0.0,0.0,1.71999990940094,-3.6872999318423433e+95,-4.2373890141841727e+86,4.113073612181515e+30,-3.7285177650288994e+110,3.99888728643527e+19,-3.738083635840382e+115,-9999.0
1660766374610693,0.0,0.0,2.549999952316284,2.1423475118353963e-06,-1.3885907767885704e+62,-6.390021621097378e+73,-1.052170562508505e+114,3.854772098359414e+19,1.265238788999962e-16,-9999.0
1660766435094993,0.0,0.0,1.71999990940094,4.7558104298752806e+24,-8.665855311628776e+66,-1.6529781915366735e+73,6210690482176.0,-4.697144730081348e+96,-4.6341740610188776e+101,-9999.0
1660766512706634,0.0,0.0,1.709999918937683,1.041282258504314e-22,2.506373721213265e+30,1.1847185797723855e-25,-4.675283452230615e+61,-1.8740646365284343e+106,-2.4879073845336287e+110,-9999.0
1660766537748952,0.0,0.0,2.0999999046325684,-2.381697294925904e+59,-5.889751473713926e+79,1.1847185797723855e-25,-4.675283452230615e+61,1.0047538603122429e-28,-2.4879073845336287e+110,-9999.0
1660766597840637,0.0,0.0,1.709999918937683,7.461456298828125,1.7027138891418303e-15,1.784713929842149e+28,-1.295871816767491e+43,-6.844953836934262e+38,7.979399015312083e-06,-9999.0
1660766692446495,0.0,0.0,3.7300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660766717506487,0.0,0.0,1.959999918937683,5.961925397812706e-12,-1.4106634479940689e+110,1.45164325142234e+35,6.427069282445142e-20,1.0047538603122429e-28,1290739968.0,-9999.0
1660766795070654,0.0,0.0,1.6999999284744263,-4.113720881783392e+57,7.796160864024789e+18,6.631285189285003e+22,-7.443423890991732e+113,-6.844953836934262e+38,-3.5869197535113226e+91,-9999.0
1660766837495265,0.0,0.0,3.799999952316284,6.157428741455078,0.14491431415081024,0.0051374416798353195,6.0486955642700195,23.625244140625,111.32643127441406,-9999.0
1660766897506626,0.0,0.0,3.799999952316284,6.162949562072754,0.15681514143943787,0.005352756939828396,6.04229736328125,23.62884521484375,111.356689453125,-9999.0
1660766957505928,0.0,0.0,3.7799999713897705,6.156965255737305,0.14762085676193237,0.005192555487155914,6.048162460327148,23.63006591796875,111.31224060058594,-9999.0
1660767017504794,0.0,0.0,3.7899999618530273,6.142604827880859,4.419784279769733e-30,0.0052338591776788235,6.048165321350098,23.626434326171875,111.26394653320312,-9999.0
1660767077501566,0.0,0.0,3.7899999618530273,6.152887344360352,0.1516583263874054,0.005193875636905432,6.0420637130737305,23.626434326171875,111.33468627929688,-9999.0
1660767137755338,0.0,0.0,3.7099997997283936,6.161972999572754,0.14512749016284943,0.005030295345932245,6.044240474700928,23.626434326171875,111.36502838134766,-9999.0
1660767197502574,0.0,0.0,3.799999952316284,6.159613132476807,5.993123471113699e-30,0.005099254660308361,6.043972969055176,23.626434326171875,111.27041625976562,-9999.0
